model_A_config,model_B_config,score_A_vs_B
experts_5_diversitat_Alta,experts_5_diversitat_Baixa,1.0
experts_5_diversitat_Mitjana,experts_5_diversitat_Alta,0.5
experts_3_diversitat_Alta,experts_1_diversitat_Mitjana,0.0
experts_3_diversitat_Alta,experts_5_diversitat_Alta,0.5
experts_1_diversitat_Alta,experts_3_diversitat_Baixa,1.0
experts_2_diversitat_Mitjana,experts_5_diversitat_Alta,0.0
experts_3_diversitat_Alta,experts_2_diversitat_Baixa,1.0
experts_3_diversitat_Baixa,experts_1_diversitat_Alta,0.0
experts_2_diversitat_Alta,experts_3_diversitat_Alta,0.0
experts_5_diversitat_Mitjana,experts_4_diversitat_Baixa,0.0
experts_1_diversitat_Alta,experts_3_diversitat_Alta,0.0
experts_1_diversitat_Mitjana,experts_1_diversitat_Baixa,0.0
experts_2_diversitat_Alta,experts_1_diversitat_Mitjana,1.0
Pediatria i Ginecologia,Patologia i Farmacologia,1.0
experts_4_diversitat_Mitjana,Patologia i Farmacologia,1.0
Cirurgia,experts_5_diversitat_Baixa,0.0
Patologia i Farmacologia,experts_5_diversitat_Mitjana,0.0
experts_3_diversitat_Mitjana,Patologia i Farmacologia,1.0
experts_1_diversitat_Mitjana,experts_3_diversitat_Mitjana,0.5
Medicina General,experts_2_diversitat_Baixa,0.5
experts_3_diversitat_Alta,Cirurgia,1.0
experts_3_diversitat_Baixa,Cirurgia,1.0
Ciències Bàsiques,experts_2_diversitat_Baixa,0.0
experts_2_diversitat_Baixa,Pediatria i Ginecologia,1.0
Patologia i Farmacologia,experts_1_diversitat_Baixa,0.0
experts_5_diversitat_Alta,experts_2_diversitat_Mitjana,0.5
Medicina General,experts_2_diversitat_Mitjana,0.0
experts_2_diversitat_Baixa,experts_5_diversitat_Baixa,0.5
Cirurgia,experts_5_diversitat_Baixa,0.0
experts_4_diversitat_Baixa,experts_4_diversitat_Mitjana,0.5
experts_3_diversitat_Mitjana,experts_3_diversitat_Alta,0.5
experts_4_diversitat_Baixa,experts_3_diversitat_Alta,0.5
experts_3_diversitat_Baixa,experts_1_diversitat_Baixa,0.5
experts_4_diversitat_Mitjana,experts_2_diversitat_Alta,1.0
experts_4_diversitat_Mitjana,experts_1_diversitat_Alta,1.0
experts_3_diversitat_Baixa,experts_2_diversitat_Alta,0.0
experts_3_diversitat_Alta,experts_2_diversitat_Alta,0.5
