Question,A,B,C,D,Explanation,Answer
Earliest sign of systemic absorption of local anaesthetic is –,Convulsions,Circulatory collapse,Circumoral numbness,Respiratory arrest,"Manifestations of local anesthetic toxicity (including lidocaine & bupivacaine)

Early symptoms (Prodrome) Circumoral numbness, dizziness, tongue paresthesia, restlessness, tinnitus, agitation.
CNS symptoms :- These are biphasic i.e. excitation (convulsions, restlessness, agitation & tinnitus), followed by depression (drowsiness, disorientation, respiratory depression, unconsciousness).
Cardiovascular manifestations :- hypotension, cardiac arrest, coma.",C
Which of the following enzyme does not affect plasma cholinesterase activity,Neostigmine,Pyridostigmine,Edrophonium,All,"Plasma cholinesterase activity can be reduced by a number of endogenous and exogenous causes. It is also reduced by anticholinesterase- neostigmine +pyridostigmine but not by edrophonium. Reduced butyryl cholinesterase activity is seen in Liver disease Pregnancy Malnutrition Old age Drugs like - oral contraceptives, monoamine oxidase inhibitors, echothiophate, cytotoxic drugs, neoplastic disease, anticholinesterase drugs and metoclopramide. Butyrylcholinesterase is the enzyme which degrades succinyl choline. It is synthesized in the liver and found in the plasma. Decreased butyrylcholinesterase is not a major concern in clinical practice because even in a large decrease in the enzyme activity will produce an only slight increase in duration of neuromuscular blockade.",C
Seen after tracheostomy,Inversion of V/P ratio,Increased V/P ratio,Decreased in dead space,Increased resistance of air flow,"Tracheostomy decreases all three :- V/P ratio, dead space, resistance to air flow.",C
Safest anesthetic agent in porphyria patient is?,Pentazocine,Etomidate,Propofol,Thiopentone,"Ans. is 'c' i.e., Propofol Anesthetics in porphyriaSafeUnsafe (should not be used)* Propofol* Benzodiazepines* Opioids (other than pentazocine)- morphine, codeine, pethidine, fentanyl, alfentanyl, naloxone* Lidocaine, Bupivacaine* Muscle relaxants* Neostagmine, atropine, glycopyrrolate* Aspirin, indomethacin, naproxen* Halothane, N2O, isoflurane* Barbiturate (thiopentone)* Etomidate* Pentazocine* Ropivacaine",C
"Heavy smoker for elective hernia repair, smoking should be stopped before how much period?",4 days,10 days,3-4 weeks,6-8 weeks,"Ans. is 'd' i.e., 6-8 weeksRef: Postgraduate anaesthesia p. 786'Limited prospective data suggest that cessation for at least 6-8 weeks preoperative is necessary to decrease the incidence of pulmonary complication.""",D
True about ketamine –,Bronchodilator,Depressed airway reflexes,Causes hypotension,Decreases ICT,"Ketamine is a potent bronchodilator.
Ketamine increases BP and ICT.
Airway reflexes (pharyngeal and laryngeal) are not depressed.",A
Allergic reactions occur with amino ester local anesthetics due to its metabolite:,P Aminobenzoic acid,Nitrosoamine,Both of the above,None of the above,"p-Aminobenzoic acid is one of the metabolites of ester-type compounds that can induce allergic-type reactions in a small percentage of patients. The aminoamides are not metabolized to p-aminobenzoic acid, and repos of allergic reactions to these agents are extremely rare. Ref: Miller's anesthesia-7th ed , Chapter 30.",A
All of the following can be routes of opioid administration except:,Intravenous,Intramuscular,Oral,Intradermal,"Opioid can be given intravenous, intramuscular, transdermal, oral , intrathecal , epidural . Opioid patch can be applied which is transdermal route.",D
"All of the following are true regarding post spinal headache, EXCEPT",Occurs within 48 hrs,Increased by sitting,Due to CSF Leak,Associated with photophobia,"(D) Associated with photophobia # SPINAL HEADACHES may occur after a procedure such as a spinal tap or spinal anesthesia.> During a spinal tap (lumbar puncture), a sample of cerebrospinal fluid is withdrawn from your spinal canal. During spinal anesthesia, medication is injected into your spinal canal to numb the nerves in the lower half of your body. Both procedures require a puncture in the tough sac (dura) that surrounds the spinal cord. If spinal fluid leaks through the tiny puncture site, you may develop a spinal headache.> Signs and symptoms> Spinal headaches vary in intensity from mild to incapacitating. The pain often gets worse when you sit up, stand or cough. H may decrease or go away when you lie down.> Spinal headaches are often accompanied by: Neck stiffness Ringing in the ears Sensitivity to light Nausea Hearing impairment",D
Least useful in Treatment of local anesthetic induced convulsions/seizures?,Phenytoin sodium,Thiopentone sodium,Midazolam,Propofol,"Ans. a (Phenytoin sodium) (Ref. Katzung pharma, 9th/Chapter 26; Anaesthesia by Ajay Yadav 3rd/pg. 111)When local anesthetic-induced seizures occur, hypoxia, hypercarbia and acidosis develop rapidly. ABC (Airway, Breathing and Circulation) is the mainstay of treatment. Administration of O2 by mask, or ventilation support by bag and mask, is often all that is necessary to treat seizures. If seizures interfere with ventilation, benzodiazepines, small dose propofol or thiopental can be used. The use of succinylcholine effectively facilitates ventilation and, by abolishing muscular activity, decreases the severity of acidosis. However neuronal seizure activity is not inhibited and therefore, cerebral metabolism and oxygen requirements remain increased.LOCALANAESTHETICSMechanism of action of local anesthetics# Diffusion of the unionized (base) form across the nerve sheath and membrane# Re-equilibration between the base and cationic forms in the axoplasm# Binding of the cation to a receptor site inside of the Na+ channel, resulting in its blockade and consequent inhibition of Na+ conductance.Order of blockade: small fibre > large fibres; myelinated fibres > unmyelinated fibres. Modality blocked: autonomic and pain > touch/pressure > motor. There are two main classes: amides and esters.Local anesthetic potencyAgentLipid SolubilityRelative PotencyProteinDuration Binding (%)pKaOnset TimeProcaine<115Short8.9Slow2-Chloroprocaine>13-Short9.1Very QuickquickMepivacaine11.575Medium7.7QuickLidocaine3265Medium7.8QuickBupivacaine28895Long8.1ModerateTetracaine80895Long8.4SlowEtidocaine140895Long7.9QuickRopivacaine14894Long8.1ModerateLocal anaesthetic Toxicity:The following are accepted plasma levels of selected local anesthetics, above which systemic effects are expected in humans: Lidocaine 5 mcg/mL; mepivacaine 5 mcg/mL; bupivacaine 1.5 mcg/mL; ropivacaine 4 mcg/mL.A. CNS Toxicity# Lightheadedness, tinnitus, perioral numbness, confusion (especially known with Lignocaine)# Muscle twitching, auditory and visual hallucinations# Tonic-clonic seizure, unconsciousness, respiratory arrest# Benzodiazepines or rapidly acting barbiturates administered intravenously are the drugs of choice for both the prevention and arrest of convulsions.# Transient neurological symptoms is side-effect of LIGNOCAINE# Seizures induced by local anesthetics can also be treated with small doses (given intravenously) of thiopental 1-2 mg/ kg, propofol 0.5-1 mg/kg, midazolam 2-4 mg total dose, or diazepam 0.1 mg/kg.B. Cardiotoxicity# Hypertension, tachycardia,can occur or# Decreased contractility and cardiac output, Sinus bradycardia, ventricular dysrhythmias, circulatory arrest# Bretylium tosylate is drug of choice for lignocaine-induced arrhythmias.^C. Methemoglobinemia# Prilocaine doses of more than 600 mg are needed to produce clinically significant methemoglobinemia.# Depending on the degree, methemoglobinemia can lead to tissue hypoxia. 02Hb curve shifts to left (P50 < 27 mmHg).# Rx:Methylene blue (l-2mg/kg of 1% solution over 5 min) or less successfully with ascorbic acid (2 mg/kg).Educational points:Ropivacaine# Ropivacaine is a new amide local anesthetic that is structurally and behaviorally similar to bupivacaine.# Like bupivacaine, it is highly protein bound and has a lengthy duration of action.# It is, however, less cardiotoxic.# With ropivacaine, sensory anesthesia may be provided without a significant degree of motor blockade.# These characteristics may make ropivacaine an ideal anesthetic for use in obstetric procedures.",A
