Question,A,B,C,D,Explanation,Answer
Common site of regional enteritis is –,Colon,Rectum,Distal ileum and colon,Caecum,"Crohn disease (Terminal ileitis or regional enteritis) 

Crohn disease (CD) is an inflammatory bowel disease (IBD) which is characterized by -


Sharply delimited and typically transmural involvement of the bowel by an inflammatory process with mucosal damage.
The presence of non-caseating granulomas.
Fissuring with the formation of a fistula.


Any portion of intestine can be involved but most commonly small intestine is involved.

Small intestine  → 40%
Small intestine + colon  → 30%
Colon → 30%",C
A hypeensive woman has come for preconception counseling. Which of the following antihypeensive is advised to continue once she becomes pregnant?,Enalapril,Chlohiazide,Nifedipine,Losaan,"Women with chronic hypeension are ideally counseled before pregnancy. The duration of hypeension, degree of blood pressure control, and current therapy are asceained. Those women who require multiple medications for control or those who are poorly controlled carry greater risk for adverse pregnancy outcomes. Tell women who take antihypeensive treatments other than ACE inhibitors, ARBs or chlorothiazide that the limited evidence available has not shown an increased risk of congenital malformation with such treatments.Angiotensin-Conveing Enzyme InhibitorsThese drugs inhibit the conversion of angiotensin-I to the potent vasoconstrictor angiotensin-II. They can cause severe fetal malformations when given in the second and third trimesters. These include oligohydramnios, hypocalvaria, and renal dysfunction Some studies also suggest teratogenic effects, and because of this, they are not recommended at any time during pregnancy.Angiotensin - receptor blockers act in a similar manner. But, instead of blocking the production of angiotensin-II, they inhibit binding to its receptor.They are presumed to have the same fetal effects as angiotensin-conveing enzyme inhibitors and thus are also contraindicated.Reference: William's obstetrics; 25th edition; Chapter 50; Chronic Hypeension",C
"In OCP, estrogen is used in",Ethinyl estradiol,Norethisterone,Ethynodiol diacetate,Allyloestranol,"A. i.e. (Ethinyl estradiol) (208 - Shaw 's Nth)COMBINED ORAL PILLS - usually contain a mixture of* Ethinyloestradiol or mestranol (20 to 30|ig)* Active progestogen - 19 morsteroid* Mala D contains -0.5 mg of D- norgestrel*** Mala N contains - 1 mg norethisterone** (Norgestrel 0.30 mg and Ethyl oestradiol 3.0 mg)* Treatment starts fifth day of the cycle for 21 days* A new course of tablets should be commonced 7 days after the cessation of the previous course* Fixed time of the day preferably after a meal* *Pregnancy rate with combined oralpill is 0.1 per 100 woman years* If she forgets to take a tablet, she should take 2 tablets the following day* The majority of failure with OCP are due to the failure to take the pills regularly* In a non lactating women OCP can be started after 6 weeks of delivery**. But can be given soon after an abortion, MTP or an ectopic pregnancy* H. mole, one should start on OCP only ofter serum beta hCG is negative* The progesterone of choice for emergency contraception is - Levonorgestrel**",A
"A child born with microcephaly, chorioretinitis and intra cranial calcifiction. Most likely diagnosis is -",Congenital syphilis,Rubella,Toxoplasmosis,Toxoplasmosis,"Ans. is 'c' i.e., Taxoplamosis Menifestations of congenital toxoplasmosis Neonatal hepatitis o Meningoencephalitis Chorioretinitis o Hydrocephalus Diffuse cerebral calcification Blindness Thrombocytopenia Microcephaly Deafness Mental retardation",C
Risk of congenital heart disease in first degree relative is,0.5 to 0.6%,2 to 6%,5 to 6%,20 to 25%,"Ans. b (2 to 6%). (Ref. Nelson, Textbook of Paediatrics, 18th/pg. 1878)Congenital heart disease occurs in# 0.5 to 0.8% of live births.# 3 to 4 % of stillboms.# 10 to 25% of abortuses.# 2% of premature infants (except PDA)# 0.8% of normal population.# 2-6% after birth of a child with CHD or if parent affected.# 20-30% when 2 first-degree relatives have congenital heart disease.NOTE: Most congenital defects are well tolerated in the fetus because of the parallel nature of the fetal circulation. Even the most severe cardiac defects (hypoplastic left heart syndrome) can usually be well compensated for by the fetal circulation. It is only after birth when the fetal pathways (ductus arteriosus and foramen ovale) are closed that the full hemodynamic impact of an anatomic abnormality becomes apparent. One notable exception is the case of severe regurgitant lesions, most commonly of the tricuspid valve. In these lesions (Ebstein anomaly), the parallel fetal circulation cannot compensate for the volume load imposed on the right side of the heart. In utero heart failure, often with fetal pleural and pericardial effusions, and generalized ascites (nonimmune hydrops fetalis) may occur.",B
"An ultrasound performed on a women, shows twin pregnancy. Which of the following is a feature of dizygotic twins?",Separate amnion and same chorion,Separate chorion and amnion,Always different sex,None of the above,"In Dizygotic twins, each twin has separate amnion and chorion and the intervening membrane consists of 4 layers amnion, chorion, chorion and amnion. They have two placentae either completely separated or more commonly fused at the margin appearing to be one. There is no anastomosis between two fetal vessels. In monozygotic twins: There is only a single placenta, there is varying degree of anastomosis between two foetal vessels. Each fetus is surrounded by a separate amniotic sac with the chorion layer common to both (diamniotic monochorionic). Intervening membrane consist of two layers of amnion only. Ref: Textbook of Obstetrics By DC Dutta, 6th edn, page 203",B
All of following are true about neonatal sepsis except-,Premature babies are predisposed to sepsis,Late initiation of breast feeding is a predisposition,Most common transmission of infection is through nursery personel,Premature rupture of membranes predisposes to sepsis,"Ans. is 'c' i.e., Most common transmission of infection is through nursery personal o Early onset sepsis is caused by organisms prevalent in the maternal genital tract. o Late onset sepsis is caused by organisms of the external environment of home or hospital and the infection is transmitted most frequently by the hands of the care-provider. Predisposing factors for neonatal sepsis 1) For early onset sepsis o Low bih weight or prematurity o Maternal fever o Prolonged rupture of membrane o Difficult or prolonged labor Foul smelling liquor o Meconium aspiration Multiple per vaginum examination 2) For late onset sepsis Low bih weight o Lack of breast feeding Superficial infections (pyoderma, umblical sepsis) o Aspiration of feeds o Disruption of skin integrity with needle pricks and use of iv fluids. Note? Option 'C' is also paially correct --> most common mode of infection transmission for late onset neonatal sepsis is through the hands of nursery personel, but it is not the most common mode of transmission for overall sepsis, i.e. early plus late neonatal sepsis.",C
A5 year old boy is detected to be HBs Ag positive on two separate occasions during a screening program for hepatitis B. He is otherwise asymptomatic. Child was given three doses of recombinant hepatitis B vaccine at the age of 1 year. His mother was treated for chronic hepatitis B infection around the same time. The next relevant step for fuher investigating the child would be to -,Obtain 1-IBeAg and anti-HBe levels,Obtain anti HBs levels,Repeat HBsAg,Repeat another course of Hepatitis B vaccine,"Ans. is 'b' i.e., Obtain anti HBs levels The child in question has received complete vaccination for Hepatitis B, is currently asymptomatic but has tested positive for HBsAg. The aim in avestigating the child fuher is to establish his immune status which can be best revealed by obtaining anti HBsAg levels. o If the tests shows inadequate levels of anti-HBsAg it would indicate that the vaccine had failed to mount an adequate immune response. Such a child should consult a pediatric hepatologist. o If the test shows adequate levels of anti-HBs Ag, the adequacy of vaccination is confirmed and as the child is asymptomatic no fuher intervention is required. o Positivity of HBsAg indicates that the child is a carrier of the antigen. Vaccination does not effect the HBsAg carrier state.",B
All of the following are true about 'secondary apnea' in a neonate EXCEPT:,The baby is not breathing,HR may become < 100/min,It may be present even at bih,Baby may respond to tactile stimulation,Primary apnea Secondary apnea Baby is not breathing Baby is not breathing HR may become < 100/min HR may become < 100/min Baby may respond to tactile stimulation Infant is unresponsive to stimulation & does not spontaneously resume respiratory effos unless PPV is initiated.,D
Follow up of Low-risk GTN is done for,3 months,6 months,12 months,24 months,"For a molar pregnancy, post-evacuation surveillance is done at least for 6 months once b-hCG level becomes normalLow-risk GTNWeekly measurement of hCG levels until they are normal for 3 consecutive weeksMonthly measurement of hCG values until levels are normal for 12 consecutive monthsHigh-Risk Metastatic GTNWeekly determination of hCG levels until they are normal for 3 consecutive weeksMonthly determination of hCG levels until they are normal for 24 consecutive monthsThese patients require prolonged follow-up because they are at increased risk of late recurrenceReference: William's Obstetrics; 25th edition, chapter 20; Gestational trophoblastic diseases",C
