player,rating,ci_upper,ci_lower
experts_5_diversitat_Alta,1122,45.2,64.6
experts_4_diversitat_Mitjana,1046,42.6,46.0
experts_4_diversitat_Alta,1045,46.7,45.0
experts_3_diversitat_Alta,1040,70.5,52.6
experts_3_diversitat_Mitjana,1029,37.9,31.5
experts_2_diversitat_Alta,1021,54.4,59.3
experts_2_diversitat_Baixa,1017,45.2,56.3
experts_4_diversitat_Baixa,1016,47.2,44.3
experts_5_diversitat_Baixa,1015,41.5,41.0
experts_5_diversitat_Mitjana,1014,53.8,58.6
experts_1_diversitat_Alta,987,69.6,64.1
experts_1_diversitat_Mitjana,983,44.9,56.2
experts_1_diversitat_Baixa,976,50.4,37.1
experts_2_diversitat_Mitjana,966,51.4,46.7
Pediatria i Ginecologia,965,59.0,55.1
Medicina General,963,68.8,54.5
experts_3_diversitat_Baixa,961,55.0,61.0
Cirurgia,947,54.2,65.8
Ciències Bàsiques,947,50.9,39.9
Patologia i Farmacologia,940,59.7,71.9
