Question,A,B,C,D,Explanation,Answer
"A 75-year-old man has complained of lower back pain for years. As pa of a investigation for a persistently elevated lymphocytosis, he had a right posterior iliac crest biopsy performed. Hematopoiesis is normal, but the bone spicules are thickened with irregular cement lines forming a mosaic appearance with both increased osteoblastic and osteoclastic activity. Which of the following conditions is most likely to occur in conjunction with this disease process?",Dementia,Myelofibrosis,Hepatic cirrhosis,Congestive Cardiac Failure,"This elderly person has Paget's disease of bone, and this is the classic phase of mixed osteolysis and osteogenesis. The increased blood flow into the involved areas of bone can lead to high output congestive hea failure in older persons with minimal cardiac reserve.",D
The expression of the following oncogene is associated with a high incidence of medullary carcinoma of the thyroid,p53,Her-2-neu,Ret proto-oncogene,Rb gene,"MTC occurs most commonly in a sporadic form (80%); it occurs less commonly as an autosomal dominant inherited disorder such as MEN2A, MEN2B, and familial medullary thyroid carcinoma (FMTC).The MEN2 and FMTC syndromes involve different germline activating mutations in the RET proto-oncogene. Additionally, 40% to 50% of sporadic MTC specimens have acquired RET mutations.Ref: Sabiston 20e, page no: 932",C
16 F foleys is used in -,Acute urinary retention,CA penis,Pyonephrosis,None.,"Ans. is 'a' i.e., Acute urinary retention * 'Catheterization is mandatory for acute urinary retention. Spontaneous voiding may return, but a catheter should be left indwelling for 3 days while detrusor tone returns.'- CSDT 13/e* 16F and 18F foleys are mainly used for adults* 8F and 10F are mainly used for children* Acute urinary retention is an indication for catheterization",A
Most common nerve involved in the fracture of surgical neck of humerus is:,Median,Radial,Ulnar,Axillary,"In fracture surgical neck of humerus the axillary nerve (circumflex nerve) is most frequently damaged. Ref: Essential Ohopedics By J Maheswari, 2nd Edition, Page 775",D
Posterior communicating aery arises from,Internal carotid,Middle cerebral,Basilar,Posterior cerebral,"Internal carotid Internal carotid aery has five main branches to the brain: anterior cerebral, middle cerebral, ophthalmic, anterior choroidal and posterior communicating aery.",A
"In modified neck dissection, surgeon should be careful to avoid 'shoulder syndrome'. All of the following are pa of shoulder syndrome, EXCEPT:",Restricted range of movement,Pain,Shoulder drooping,Normal electromyographic finding,"Resection of the spinal accessory nerve during radical neck dissection or injury to the nerve during modified neck dissection (with preservation of the spinal accessory nerve), can lead to the 'shoulder syndrome'. This syndrome consists of, Pain in the shoulder Limited shoulder abduction Full passive range of motion Scapular flaring and droop Abnormal electromyography of the trapezius Ref: Principles and Practice of Geriatric Surgery By Ronnie Ann Rosenthal, 2011, Page 569.",D
Which of the following is the first treatment of choice in a case of rupture of varicose veins at the ankle ?,Rest in prone position of patient,Application of a tourniquet proximally,Application of a tourniquet distally,Direct Pressure and Elevation,"Rupture of varicose vein is not a life threatening condition. If it ruptures bleeding is controlled by direct pressure and elevation of the area. Ref: Current Medical Diagnosis and Treatment 2012, Chapter 12; 2. ECG: Practical Applications Pocket Reference Guide By Kathryn Lewis, Page 70",D
"A patient with long-standing multinodular goitre develops hoarseness of voice; also, the swelling undergoes a sudden increase in size. Likely diagnosis is",Follicular ca,Papillary ca,Medullary ca,Anaplastic ca,"History of sudden growth in a long-standing goitre and hoarseness are suggestive of malignant change.
Most common carcinoma to develop in developing in long-standing multinodular goitre is Follicular carcinoma.",A
Internal fistula is MOST commonly found between gallbladder and:,Colon,Duodenum 1st pat,Jejunum,Transverse colon,"Biliary fistula is a complication of gallstone (90% of biliary fistulas are due to gallstone). The inflamed gallbladder becomes adherent to adjacent stomach, duodenum, colon and necrosis develops at the site leading to the development of fistulas. Most common site of fistula is the duodenum. Colon is the 2nd most common siteof fistula. Ref: Hamilton Bailey 10/e, Page 432.",B
Glasgow coma scale (GCS) in case of mild head injury: September 2011,15 with no loss of consciousness,14/ 15 with loss of consciousness,13-Sep,8-Mar,Ans. B: 14/ 15 with loss of consciousness GCS in mild head injury: 14 or 15 with loss of consciousness,B
"DTPA scan of hypertensive young lady is normal, USG shows small kidney on left side. Next investigation will be -",CT Scan abdomen,Retrograde pyelogram,Digital subtraction angiography,DMSA,"Hypertension in a young female is most probably due to renal artery stenosis (cause fibromuscular dysplasia)
DTPA scan which shows the GFR comes to be normal because of increased renin activity.
Digital subtraction angiography or Doppler U/S will show the stenosis.
Now MRA (Magnetic resonance angiography) has replaced all previous modalities as the most sensitive (>95%) and specific test (95%) for the diagnosis of renal artery stenosis.
But the most definitive diagnostic procedure is bilateral arteriography with repeated bilateral renal vein and systemic rennin determinations.",C
"A 10-year-old boy presents with a history recurrent abdominal pain. There is a past history of bronchitis but no history of pneumonia. On examination, there has been no significant increase in weight over the past 3 years, with flattening of the growth curve. Trace digital clubbing is noted. Most appropriate test to be ordered at this time is?",Pulmonary function tests,Sweat test,Chest x-ray,Abdominal x-ray,"Sweat test. The most common cause of digital clubbing in children, other than cyanotic congenital hea disease, is cystic fibrosis. The history of bronchitis and of abdominal pain (probably secondary to malabsorption) is compatible with this diagnosis. Therefore, a sweat test is the best test to order. Pulmonary function tests are not diagnostic but may suggest obstructive pulmonary disease; a chest x-ray may show chronic changes; an abdominal x-ray may show dilated loops of filled bowel; and an IgE level may demonstrate allergies as the etiology of the bronchitis. Only the sweat test is diagnostic",B
"The stability of the ankle joint is maintained by all of the following, except:",Plantar calcaneonavicular (spring) ligament,Deltoid ligament,Lateral ligament,Shape of the superior talar aicular surface,A i.e. Plantar calcaneonavicular (spring) ligament,A
Standard method to differentiate between endotracheal and esophageal intubation is-,End tidal CO2,Chest X-rays,Auscultation,Paial pressure of 02,"Auscultation is the most commonly used method to detect endobronchial intubation. But it may be misleading, as breath sounds can be transmitted to opposite side of the chest. Chest x-ray is reliable but time consuming and expensive. The radio opaque marker at the patient end shoilube in the middle third of trachea. End tidal CO2 is the most reliable and standard method to detect endobronchial intubation.",A
Extent of nicotinic receptor blockade required for neuromuscular transmission failure due to non-depolarizing neuromuscular blockers:-,<5%,About 20%,About 30%,>80% - 90%,Non depolarising neuromuscular blocker are competitive blockers and when more than 80 -90 % receptor is blocked then only neuromuscular transmission fails. Characteristic of NDNB 1. Decreased twitch response to a simple stimulus. 2. Fade on tetanic stimulus 3. Train of four response is seen 4. TOF ratio <1 5. Post tetanic potentiation 6. Potentiation of other nondepolarising drugs Antagonism by anticholinesterase,D
Which is not seen in massive resection of small bowel?,Hypogastrinemia,Vitamin B12 deficiency,Malabsorption,Oxalate stone,"Ans. (a) HypogastrinemiaRef: Sabiston 19th edition, page 1274-1276* Due to loss of small intestine feedback inhibition to gastrin is lost -- hence there will be hypergastrinemia* 70% resection can be tolerated in small intestine* Proximal bowel resection is tolerated much better than distal bowel* Presence of terminal ileum and IC valve is much tolerated",A
Which of the following is NOT a cause of stress related mucosal injury?,Head injury,Haemophilus pylori,Severe burns,Sepsis,"Patients suffering from shock, sepsis, massive burns, severe trauma, or head injury develop acute erosive gastric mucosal changes or frank ulceration with bleeding. It is classified as stress-induced gastritis or ulcers. fThe injury is most commonly observed in the acid-producing (fundus and body) poions of the stomach. The most common presentation is GI bleeding, which is usually minimal but can occasionally be life threatening. Stress injury does not cause inflammation or H. pylori. Although elevated gastric acid secretion may be noted in patients with stress ulceration after head trauma (Cushing's ulcer) and severe burns (Curling's ulcer), mucosal ischemia and breakdown of the normal protective barriers of the stomach also play an impoant role in the pathogenesis. Ref: Valle J.D. (2012). Chapter 293. Peptic Ulcer Disease and Related Disorders. In D.L. Longo, A.S. Fauci, D.L. Kasper, S.L. Hauser, J.L. Jameson, J. Loscalzo (Eds), Harrison's Principles of Internal Medicine, 18e.",B
Mandible is commonly fractured:,At the neck of the condyle,Through the angle,Through the cannine fossa,At the middle,"FRACTURE OF THE MANDIBLE - Condylar neck is the weakest pa of the mandible and MC site of fracture. Mandible may fracture directly at the point of the blow. Indirectly where the force from the blow is transmitted and the mandible fractures at a point of weakness distant from the original blow, known as 'Guardsman' fracture. - 'Butterfly' fracture of the mandible: A segment of mandible is deteched from the rest of the mandible in the canne regions Diagnosis - Recommended readiographic evaluation of a mandible fracture : Panoramic radiograph (panorex) And Towne's view X-ray Treatment - As in midface fractures, restoration of dental occlusion forms the foundation for fracture management. Intermaxillary fixation before fractures exposure and plating is necessary - Condylar and subcondylar mandible fractures are most often treated by IMF alone.",A
