Question,A,B,C,D,Explanation,Answer
Group A nerve fibers are most susceptible to,Pressure,Hypoxia,Local anaesthetics,Temperature,"Pressure on a nerve can cause loss of conduction in large diameter motor,touch& pressure fibre ( ie group A fibre) ,while pain sensation (group c fibre) remains relatively intact. Ref: Ganong&;s Review of medical physiology;25th edition; pg: 95.",A
"In the work of breathing, tissue resistance contributes ___% fraction:",7%,14%,28%,65%,"Work done = load x displacement. In the context of lungs, load is analogous to pressure and displacement is volume expansion of lungs. Hence, work of breathing = DP X DV. Thus, work done can be calculated as area covered under the inspiratory curve in compliance diagram. Of the total inspiratory work, 65% work is elastic work or compliance work. Remaining 35% is non-elastic work - (28% is airway resistance work, 7% is tissue resistance work.)",A
Proteins are sorted by:,Golgi bodies,Mitochondria,Ribosomes,Nuclear membrane,Ans. A. Golgi bodiesFunctions of Golgi bodiesO-Glycosylation of proteinsProtein sortingProcessing of oligosaccharide chains of Glycoproteins,A
True statement about streptococcus faecalis is,Growns in 6.5% Nacl solution,Are lactose fermenter,Easily destroyed at 60 o C for 30 minutes,Classified on the basis of teichoic acid of cell wall,"The enterococcus(enterococci or faecal streptococci) can grow in the presence of 40% bile, 6.5% NaCl, at pH 9.6 at 45-degree Celsius and in 0.1% methylene blue milk. Reference: Textbook of Microbiology; Anathanarayan and panicker's; 10th edition; Page no: 219",A
Which of the following is most resistant to sterilization?,Cysts,Prions,Spores,Viruses,"Prions are infectious proteins without any detectable nuclic acid they are highly resistant to physical and chemical agents. Heat : they are extremly resistant to dry heat. they are most resistant to moist heat than bacteria spores fungi and viruses Chemicals: prions are inactivated by sodium hypochlorite . they are also sensitive to household bleach, phenol and iodine disinfectants . chemicals such as aldehyde, hydrogen peroxide, ethylene oxide , ethanol and ionising radiations are found to be ineffective Ref:textbook of Microbiology Dr.C.P.Baveja 4th Edition pg no: 39",B
Which of the following would NOT be likely to produce hypernatremia?,Near drowning in salt water,Hyperglycemia,Diabetes Insipidus,Watery diarrhea,"Hypernatremia occurs when there is elevation of serum Na+ of > 146 mEq/L. It occurs under various circumstances which include excessive Na+ ingestion in absence of corresponding water ingestion, an inability to ingest water due to impairment in thirst mechanisms, unconsciousness or lack of water supply, and insufficient intake of water to keep up with water losses. Near drowning in salt water causes considerable intake of hypeonic salt solution either through swallowing or absorption through pulmonary membranes. Diabetes Insipidus is a result of faulty, or insufficient secretion of ADH (anti diuretic hormone). This leads to increased urinary output of dilute urine with subsequent excess water losses, leading to hyperosmolality of serum. Hyperglycemia, however, tends to decrease serum Na+ concentrations as water shifts from intracellular compaments into intravascular fluids in response to the hyperosmolar state of the serum. Watery diarrhea will produce excess water losses in excess of electrolytes, thus increasing serum Na+ concentration. Ref: Howard C., Berl T. (2009). Chapter 3. Disorders of Water Balance: Hyponatremia & Hypernatremia. In E.V. Lerma, J.S. Berns, A.R. Nissenson (Eds), CURRENT Diagnosis & Treatment: Nephrology & Hypeension.",B
Which of the following is not seen after removal of testis in an adult?,Loss of libido,Impotence,Muscle weakness,Decrease FSH,"Follicle-stimulating hormone (FSH) is a gonadotropin, a glycoprotein polypeptide hormone. FSH is synthesized and secreted by the gonadotropic cells of the anterior pituitary gland, and regulates the development, growth, pubeal maturation, and reproductive processes of the body Ref: guyton and hall textbook of medical physiology 12 edition page number:629,639,631",D
Tube agglutination test is used for serological diagnosis for,Enteric fever,Rabies antigen,HIV,Syphilis,"Tube agglutination test is useful for serological diagnosis of enteric fever, typhus fever, infectious mononucleosis Ref: Textbook of Microbiology Baveja 5th ed Pg 120",A
Scurvy is due to deficiency of,Vitamin C,Vitamin A,Vitamin K,Vitamin E,"Deficiency of ascorbic acid results in scurvy, a disease characterized by sore and spongy gums, loose teeth, fragile blood vessels, swollen joints, and anemia. Many of the deficiency symptoms can be explained by a deficiency in the hydroxylation of collagen, resulting in defective connective tissue.Reference: Lippincott; 5th Edition; Page no: 377",A
"A 26 -year-old male falls from the ladder and had suffered an intense head injury with moderate bleeding . suffers from head injury after falling from a ladder and bleeding in his head. During surgery , neurosurgeon noticed loss of sensation in the dura of middle cranial fossa. Which of the following nerves is injured ?",Vagus nerve,Facial nerve,Hypoglossal nerve,Trigeminal nerve,"Cranial dura in the middle cranial fossa is innervated by maxillary and mandibular divisions of trigeminal nerve, Dura in anterior cranial fossa is innervated by the ophthalmic division of the trigeminal nerve, Dura in posterior cranial fossa is innervated by vagus and hypoglossal (C1 through hypoglossal) nerves. Facial and glossopharyngeal nerves do not supply cranial dura.",D
Which among the following is TRUE regarding Golgi tendon organ?,Senses dynamic length of muscle,Involved in reciprocal innervation,Alpha motor neuron stimulation,Senses muscle tension,"he harder a muscle is stretched, the stronger is the reflex contraction. However, when the tension becomes great enough, contraction suddenly ceases and the muscle relaxes. This relaxation in response to strong stretch is called the inverse stretch reflex. The receptor for the inverse stretch reflex is in the Golgi tendon organ. This organ is the receptor for the inverse stretch reflex and consists of a netlike collection of knobby nerve endings among the fascicles of a tendon. The innervation is the Ib group of myelinated, rapidly conducting sensory nerve fibers. Ref: Barrett K.E., Barman S.M., Boitano S., Brooks H.L. (2012). Chapter 12. Reflex and Voluntary Control of Posture & Movement. In K.E. Barrett, S.M. Barman, S. Boitano, H.L. Brooks (Eds), Ganong's Review of Medical Physiology, 24e.",D
Which law is applicable for surfactant action?,Laplace law,Charlie's law,Thames law,Charles law,"The low surface tension when the alveoli are small is due to the presence in the fluid lining the alveoli of surfactant, a lipid surface-tension-lowering agent. Surfactant is a mixture of di- palmitoylphosphatidylcholine (DPPC), other lipids, and pro- teins (If the surface tension is not kept low when the alveoli become smaller during expiration, they collapse in accordance with the law of Laplace. In spherical structures like the alveoli, the distending pressure equals two times the ten- sion divided by the radius (P = 2T/r); if T is not reduced as r is reduced, the tension overcomes the distending pressure. Sur- factant also helps to prevent pulmonary edema. It has been calculated that if it were not present, the unopposed surface tension in the alveoli would produce a 20 mm Hg force or- ing transudation of fluid from the blood into the alveoli.Ref: Ganong review of medical physiology 23rd edition Page no: 597",A
Which of the following is an obligate parasite?,Mycoplasma,Chlamydia trachomatis,Gram -ve bacilli,Gram +ve cocci,"Chlamydiae is an obligate intracellular bacterial parasite.
They can be isolated only in cell culture. 
McCoy and HeLa cell lines are MC cell lines used to culture chlamydia.",B
