Question,A,B,C,D,Explanation,Answer
Select false statement regarding case fatality rate,It is a killing power of disease,It is 'complement of survival rate',CFR is a propoion,Time interval is specified in CFR,CFR = 1 - Survival rate Time interval is not specified. Determines killing power of disease/ virulence of organism. CFR is a Propoion (Expressed always in %). CFR of Rabies 100%.,D
Chronic adrenal insufficiency is characterized by all of the following:,Excess pigmentation,Asthenia,Weight gain,Hypoglycemic episodes,"Answer is C (Weight gain): Adrenal insufficiency is- associated with weight loss and not weight gain, Weight gain is a feature of Cushing'S syndrome or Adrenal hyperfUnction and not of Adrenal insufficiency.",C
Drug of choice for Falciparum Malaria is:-,Chloroquine,Mefloquine,ACT,Proguanil,DOC for Falciparum Malaria - ACT.( Aemisinin based Combination therapy ) In Noh Eastern states:- ACT-AL co-formulated tablet of Aemether-20 mg / Lumefantrine - 120 mg. Primaquine 0.75 mg/ kg Body weight on day 2. 2. In Other States:- ACT-SP -Aesunate 50 mg tablet for 3 days and Sulphadoxine (500mg) - Pyremethamine (25mg) tablets for 1 Day. Primaquine tablets should be given on Day 2.,C
"After undergoing surgery for Carcinoma of the colon, a patient developed single liver metastasis of 2cm. What is the next line of management?",Resection,Chemoradiation,Acetic acid injection,Radiofrequency ablation,"Total resection of the tumor is optimal management when a tumor is detected in the large bowel.The detection of metastases should not preclude surgery in patients with tumor-related symptoms.Radiation therapy to the pelvis is recommended to reduce the 20-25% probability of recurrence of stage II or III tumors after complete surgical resection.Preoperative radiotherapy is indicated for patients with large, potentially unresectable rectal cancers.Systemic therapy has become more effective.5-Fluorouracil remains the backbone of treatment of this disease. It acts as a radiosensitizer when delivered together with radiation therapy.FOLFIRI regimen: Irinotecan with 5-FU and Leucovorin.FOLFOX regimen: leucovorin with 5-FU and Oxaliplatin.MONOCLONAL ANTIBODIES: EGFR Ab -Cetuximab, Panitumumab, VEGF-Bevacimumab.Patients with solitary hepatic metastases without clinical or radiographic evidence of additional tumor involvement should be considered for paial liver resection.(Ref: Harrison's 18/e 773,774)",A
International certificate for travelling is required for -,Pertusis,Yellow fever,Cholera,Plague,"Ans. is 'b' ie Yellow Fever 'India and most other countries require a valid certificate of vaccination against yellow fever from travellers coming from infected areas.It rests with each country to decide whether a certificate of vaccination against yellow fever shall be required for infants under one year of age. India requires vaccination of infants too.The validity of the certificate begins 10 days after the date of vaccination and extends up to 10 years.' - Park, 17/e",B
Ipsilateral 3rd nerve palsy with crossed hemiplegia is a feature of?,Weber syndrome,Benedikt syndrome,Wallenberg syndrome,Horner syndrome,Weber syndrome shows the above features. Details of other syndromes can be found in treasures Weber's syndrome Site of lesion Features Midbrain I/L CN III palsy C/L hemiplegia,A
Specificity of a screening test measures,False positives,True positives,False negatives,True negatives,"Specificity in the above image = d/(b+d)x100 Specificity is defined as the ability of a test to identify correctly those who do not have the disease, that is, 'true-negatives'. Ref: 25th edition, Park's Textbook of Preventive and Social Medicine, Page no. 152",D
Which of the following is affected in Megaloblastic anemia?,DNA,RNA,Giobin,Iron absorption,"Ref: Harrison's Principles of Internal Medicine, 18edExplanation:'The common feature of all megaloblastic anemias is a defect in DNA synthesis that affects rapidly dividing cells in the hone marrow' Ref: HarrisonCauses of Megaloblastic Anemia* Vitamin B12. Cobalamin deficiency or abnormalities of cobalamin metabolismFolate deficiency or abnormalities of folate metabolismTherapy with antifolate drugs (e.g., methotrexate)Independent of either cobalamin or folate deficiency and refractory to cobalamin and folate therapy:Acute myeloid leukemiaMyelodysplasiaTherapy with drugs interfering with synthesis of DNA Orotic aciduria (responds to uridine) Thiamine-responsive Megaloblastic anemiaBiochemical Basis of Megaloblastic AnemiaFolates (as the intracellular polyglutamate derivatives) aet as coenzymes in the transfer of single-carbon units.Two of these reactions are involved in purine synthesis and one in pyrimidine synthesis necessary for DNA and RNA replication.Folate is also a coenzyme for methionine synthesis, in which methylcohalamin is also involved and in which THE is regenerated. THF is the acceptor of single carbon units newly entering the active pool via conversion of serine to glycine. Methionine, the other produet of the methionine synthase reaction, is the precursor for S-adenosylmethionine (SAM), the universal methyl donor involved in >100 methyltransferase reactionsThe common feature of all megaloblastic anemias is a defect in DNA synthesis that affects rapidly dividing cells in the bone marrowAll conditions that give rise to megaloblastic changes have in common a disparity in the rate of synthesis or availability of the four immediate precursors of DNAIn deficiencies of either folate or cobalamin. there is failure to convert deoxyuridine monophosphate (dUMP) to deoxythymidine monophosphate (dTMP), the precursor of dTTPThis is the ease because folate is needed as the coenzyme 5,10-methylene-THE polyglutamate for conversion of dUMP to dTMP: the availability of 5,10-methylene-THF is reduced in either cobalamin or folate deficiency.",A
Central nervous system manifestion in chronic renal failure are a result of all of the following except -,Hyperosmolarity,Hyperparathyroidisn,Acidosis,Hyponatremia,"Chronic renal failure results in- Sodium and water retention leading to hyponatremia(not common and responds to water restriction). Decreased ca absorption -Hypocalcemia-increase in PTH -Hyperphosphatemia,increased bone resorption resulting in hypercalcemia-deposition of calcium in extraosseous sites such as vascular bed and soft tissues. Hyperkalemia Hyperchloremic metabolic acidosis is present in early stages of ckd(1-3). Ref:HARRISON 20 th edition pg no. 2114,2115",A
A pregnant woman from Bihar presents with hepatic encephalopathy. The likely diagnosis:,Hepatitis E,Hepatitis B,Sepsis,Acute fatty liver of pregnancy,"MC cause of fulminant hepatitis in pregnancy - Hepatitis E.
MC cause of hepatic encephalopathy in pregnancy is - Hepatitis E.",A
