Question,A,B,C,D,Explanation,Answer
Hirschsprung colon is due to ?,Muscle atrophy in muscularis mucosa,Loss of intrinsic enteric plexuses,Loss of extrinsic nerve supply,None.,"Ans. is 'b' i.e., Loss of intrinsic enteric plexuses Pathogenesis of Hirchsprung disease The entric neuronal plexuses develops from neural crest cells, which migrate into the bowel wall during development, mostly in a cephalad to caudad direction. Hirschsprung disease results when the migration of neural crest cells arrests at some point before reaching the anus - inappropriate premature death. This produces an intestinal segment that lacks both meissner submucosal and aurebach myenteric plexus. Loss of enteric neural coordination leads to functional obstruction and intestinal dilation proximal to the affected segment.",B
Mech of action of bevacizumab,Inhibitor of HER-2/Neu,Inhibitor of VEGF,Inhibitor of c-kit,None of the above,"Bevacizumab:- Mech of action:- It is a humanized monoclonal antibody that binds VEGF-A and hinders its access to the VEGF receptor, interrupting angiogenic signalling. Uses:- combined with 5-FU, bevacizumab is used in metastatic colorectal cancer. Added to conventional chemotherapy, it improves survival in metastatic non-small cell lung cancer, breast cancer, clear cell renal carcinoma and glioblastoma. Deafness due to neurofibromatosis can be reversed by growth inhibitory effect of bevacizumab. Ref:- kd tripathi; pg num:-871",B
One of the following caused nephrotoxicity -,Azathioprine,Cyclophosphamide,Mycophenolate mofetil,Tacrolimus,"Tacrolimus Tacrolimus is a macrolide immunosuppressant that is isolated from bacterium. It is used for the same purpose as cyclosporine i.e., it is being used to protect and treat liver and kidney grafts when conventional immunosuppressants fail. It suppresses the cell mediated immunity but it leaves patient with enough immunity to fight bacteria. Despite major differences in the chemical structure, tacrolimus and cyclosporine seems to have many effects in common:? It acts like cyclosporine Both the drugs inhibit the calcineurin pathways. Their adverse effect on kidney is indistinguishable i.e., - Tubular lesions - Aeriolopathy - Tufts like changes in glomeruli and vessels. Adverse effect of Azathioprine (Goodman Gilman 12th/e p. 1415) Bone marrow Suppression - Leucopenia (common) - Thrombocytopenia (less common) Increased susceptibility to infections Hepatotoxicity Alopecia G.I.toxicity Pancreatitis Increased risk of neoplasia Adverse effects of mycophenolate mofetil (Goodman Gilman 12th/e p1414) Gastrointestinal - Diarrhoes - Vomiting Hematological - Leucopenia - Anemia - Thrombocytopenia Sepsis associated with cytomegalovirus Adverse lipid profile Increased risk of malignancy and pancreatitis Abnormal liver functions tests - Hepatitis - Electrolyte disturbance Adverse effect of Leflunomide Diarrhoea (40%) Other gastrointestinal disturbances Allergic responses Alopecia Hypeension Leucopenia Abnormal liver function tests",D
Commonest side effect of Dapsone is:,Hemolytic anemia,Thrombocytopenia,Cyanosis,Bone marrow depression,"ANTILEPROTIC DRUGS: CLASSIFICATION: Sulfone:dapsone Phenazine derivative:clofazamine Antitubercular drugs:rifampin,ethionamide other antibiotics:ofloxacin,moxifloxacin,minocycline,clarithromycin DAPSONE: Activity and mechanism: Dapsone is chemically related to sulfonamides and has the same mechanism of action, i.e. inhibition of PABA incorporation into folic acid; its antibacterial action is antagonized by PABA. Pharmacokinetics: Dapsone is completely absorbed after oral administration and is widely distributed in the body, though penetration in CSF is poor. It is 70% plasma protein bound, but more impoantly concentrated in skin (especially lepromatous skin), muscle, liver and kidney. Dapsone is acetylated as well as glucuronide and sulfate conjugated in liver. Metabolites are excreted in bile and reabsorbed from intestine, so that ultimate excretion occurs mostly in urine. The plasma tlh of dapsone is variable, though often > 24 hrs. The drug is cumulative due to retention in tissues and enterohepatic circulation. Elimination takes 1-2 weeks or longer. DAPSONE: 25, 50, 100 mg tab. Adverse effects: Dapsone is generally well tolerated at doses 100 mg/ day or less. Mild haemolytic anaemia is common. It is a doserelated toxicity-reflects oxidising propey of the drug. Patients with G-6-PD deficiency are more susceptible; doses > 50 mg/ day produce haemolysis in them. Gastric intolerance-nausea and anorexia are frequent in the beginning, decrease later. Other side effects are methaemoglobinaemia, headache, paresthesias, mental symptoms Contraindications: Dapsone should not be used in patients with severe anaemia with Hb < 7g%, G-6-PD deficiency and in those showing hypersensitivity reactions. Other use In combination with pyrimethamine, dapsone can be used for chloroquine-resistant malaria ESSENTIALS OF MEDICAL PHARMACOLOGY K.D.TRIPATHI SIXTH EDITION Page No:751,752",A
Mutation in Keratin 1 and 10 are associated with?,Epidermolysis bullosa simplex,Epidermolytic hyperkeratosis,Epidermolytic palmoplantar keratoderma,Meesmann epithelial corneal dystrophy,"ANSWER: (B) Epidermoiytic hyperkeratosisREF: Journal of Pathology 2004; 204: 355-366- DOI: 10.1002/path.l643'Mutations in keratins K1 and K10 are associated with bullous congenital ichthyosiform erythroderma (BCIE), also sometimes referred to as EH or EHK (epidermoiytic hyperkeratosis, the principal clinical feature of this disorder) 'Mutations of keratin: (Remember at least first 2)K5/K14Epidermolysis bullosa simplex (EBS)K1/K10Bullous congenital ichthyosiform erythroderma or Epidermoiytic hyperkeratosis (EHK)K9Epidermoiytic palmoplantar keratodermaK6, K16, and K17Pachyonychia congenitaK3/K12Meesmann epithelial corneal dystrophyK4/13White sponge naevus",B
`Gandy-Gamma&; nodules are typically sen in chronic venous congestion of-,Lung,Kidney,Liver,Spleen,"CVC Spleen Chronic venous congestion of the spleen occurs in right hea failure and in poal hypeension from cirrhosis of the liver. Microscopically, the features are as underi) Red pulp is enlarged due to congestion and marked sinusoidal dilatation and there are areas of recent and old haemorrhages. Sinusoids may get conveed into capillaries (capillarization of sinusoids).ii) There is hyperplasia of reticuloendothelial cells in the red pulp of the spleen (splenic macrophages).iii) There is fibrous thickening of the capsule and of the trabeculae.iv) Some of haemorrhages overlying fibrous tissue get deposits of haemosiderin pigment and calcium salts; these organised structures are termed as Gamna-Gandy bodies or siderofibrotic nodules.v) The firmness of the spleen in the advanced stage is seen more commonly in hepatic cirrhosis (congestive splenomegaly) and is the commonest cause of hypersplenism. HARSH MOHAN Textbook of pathology 6th edition pg no 107",D
Acute viral hepatitis -,Ballooning degeneration,Acidophilic inclusion (necrosis),Interphase hepatitis,All,"Ans. is 'a' i.e., Ballooning degeneration; 'b' i.e., Acidophilic inclusion (necrosis); `c' i.e., lnterphase hepatitis",D
Gene silencing means a gene which would be expressed under normal circumstances is switched off by cell machinery. Which one of the following cellular components is not involved in gene silencing?,Micro-RNA,Double stranded RNA,Ribosomal RNA,Si RNA,"Ans. (c) Ribosomal RNA(Ref: Robbins 9th/pg 172-173)Two of the leading methods of gene silencing are RNA interference (RNAi), Si RNA and antisense oligonucleotides (ASOs), ds RNAIt does not affect ribosomal RNA",C
Which of these is false regarding cytokines ?,Mediators of inflammation,Produced by macrophages,Are soluble proteins,Does not mediate specific reactions,"Ans. is 'd' i.e., Does not mediate specific reactionsCytokines o Cytokines are soluble proteins (polypeptides)o They are produced by a wide variety of hematopoietic and nonhematopoietic cell types.o They regulate immunological, inflammatory and reparative host responses.o Cytokines mediate their effects by binding to specific high affinity receptors on their target cells. Specific cytokines mediate specific reactions.",D
Methotrexate is used in all of the follow ing except:,Sickle cell anemia,Psoriasis,Rheumatoid arthritis,Ankylosing spondylitis,"Ans. a. Sickle cell anemia (Ref: Katzung l1/e p631-632; KDT 7/e p210, 863, 882, 6/e p203, 841]Methotrexate is not used in sickle cell anemia.'Methotrexate is now considered the first line DMA RD agent for most patients with Rheumatoid arthritis. The anti- inflammatory effect of methotrexate in rheumatoid arthritis appears to be related at least in part to interruption of adenosine and possible effect on TNF pathways.'Which DMARD should be the drag of first choice remains controversial and trials have failed to demonstrate a consistent advantage ofone over the other? Despite this, methotrexate has emerged as the DMARD of choice especially in individuals with risk factors for the development of bone erosions or persistent synovitis of >3 months duration because of its relatively rapidity of actiont its capacity to effect sustained improvement with ongoing therapy and the higher level of patient retention on therapy''Methotrexate is a folate antagonist, it causes reduction in cells reproductive abilities. Methotrexate affects cells, which divides quickly. In psoriasis cells divide more than usual. Methotrexate binds to these cells and inhibits enzymes involved in rapid growth of skin cells. It is commonly used to stop the progression ofpsoriatic arthritis and less commonly used in the treatment of severe psoriasis with no arthritis component Methotrexate is an effective antipsoriasis agent. It is especially useful in acute generalized pustular psoriasis, psoriatic erythroderma, psoriatic arthritis and extensive chronic plaque psoriasis.Methotrexate although widely used has not been shown benefit in ankylosing spondylitis. There is not enough evidence to be certain of the benefit and harms of methotrexatefor ankylosing spondylitis amhnore research is needed. In ankylosing spondylitis the use of methotrexate is not recommended for the axial manifestations. The drug may have some efficacy- in the peripheral involvement. For this disease there is lack of clinical trials and most of the trials did not show efficacy on the axial symptoms of the disease.",A
