player,rating,ci_upper,ci_lower
experts_3_diversitat_Alta,1035,47.5,64.0
experts_5_diversitat_Alta,1029,38.9,29.2
experts_1_diversitat_Baixa,1017,28.2,17.0
experts_4_diversitat_Baixa,1016,29.7,16.0
Pediatria i Ginecologia,1016,26.5,16.0
experts_4_diversitat_Mitjana,1015,28.7,15.0
experts_1_diversitat_Alta,1014,44.8,44.6
experts_3_diversitat_Mitjana,1012,31.1,14.1
experts_5_diversitat_Baixa,1001,42.7,44.3
experts_2_diversitat_Alta,1001,42.7,44.7
experts_5_diversitat_Mitjana,1000,34.5,41.1
experts_2_diversitat_Mitjana,985,15.0,28.8
experts_1_diversitat_Mitjana,984,49.8,49.5
Cirurgia,983,17.0,28.7
experts_2_diversitat_Baixa,983,17.0,27.8
experts_3_diversitat_Baixa,969,31.0,37.2
Patologia i Farmacologia,940,44.0,45.5
